subject,rel_lemma,object,rel_p_id,query,prompt,model_output
triquetral bone,is-subclass,bone,P279,"triquetral bone,  a type of","Complete the sentence. Answer with one word. ""triquetral bone,  a type of""",carpal
Myelin basic protein,is-subclass,protein,P279,"Myelin basic protein,  a type of","Complete the sentence. Answer with one word. ""Myelin basic protein,  a type of""",protein
generic drug,is-subclass,medication,P279,"generic drug,  a type of","Complete the sentence. Answer with one word. ""generic drug,  a type of""",medication
Cystatin C,is-subclass,protein,P279,"Cystatin C,  a type of","Complete the sentence. Answer with one word. ""Cystatin C,  a type of""",protein
tobacco smoking,is-subclass,smoking,P279,tobacco smoking is a subclass of,"Complete the sentence. Answer with one word. ""tobacco smoking is a subclass of""",smoking
direct democracy,is-subclass,democracy,P279,"direct democracy,  a subclass of","Complete the sentence. Answer with one word. ""direct democracy,  a subclass of""",democracy
Gallery forest,is-subclass,forest,P279,"Gallery forest,  a type of","Complete the sentence. Answer with one word. ""Gallery forest,  a type of""",forest
HIV vaccine,is-subclass,vaccine,P279,"HIV vaccine,  a type of","Complete the sentence. Answer with one word. ""HIV vaccine,  a type of""",vaccine
fixed-gear bicycle,is-subclass,bicycle,P279,"fixed-gear bicycle,  a type of","Complete the sentence. Answer with one word. ""fixed-gear bicycle,  a type of""",bicycle
Centrifugal pump,is-subclass,pump,P279,"Centrifugal pump,  a type of","Complete the sentence. Answer with one word. ""Centrifugal pump,  a type of""",pump
attributive verb,is-subclass,verb,P279,"attributive verb,  a type of","Complete the sentence. Answer with one word. ""attributive verb,  a type of""",verb
Restoring force,is-subclass,force,P279,"Restoring force,  a type of","Complete the sentence. Answer with one word. ""Restoring force,  a type of""",force
ground beef,is-subclass,beef,P279,"ground beef,  a type of","Complete the sentence. Answer with one word. ""ground beef,  a type of""",meat
Liberty Head nickel,is-subclass,nickel,P279,Liberty Head nickel is a subclass of,"Complete the sentence. Answer with one word. ""Liberty Head nickel is a subclass of""",nickel
Olivier salad,is-subclass,salad,P279,"Olivier salad,  a type of","Complete the sentence. Answer with one word. ""Olivier salad,  a type of""",salad
show dog,is-subclass,dog,P279,"show dog,  a type of","Complete the sentence. Answer with one word. ""show dog,  a type of""",dog
animal suicide,is-subclass,suicide,P279,"animal suicide,  a type of","Complete the sentence. Answer with one word. ""animal suicide,  a type of""",behavior
New Zealand English,is-subclass,English,P279,"New Zealand English,  a subclass of","Complete the sentence. Answer with one word. ""New Zealand English,  a subclass of""",English
postcolonial feminism,is-subclass,feminism,P279,"postcolonial feminism,  a type of","Complete the sentence. Answer with one word. ""postcolonial feminism,  a type of""",feminism
Ecological anthropology,is-subclass,anthropology,P279,"Ecological anthropology,  a subclass of","Complete the sentence. Answer with one word. ""Ecological anthropology,  a subclass of""",anthropology
Internet censorship,is-subclass,censorship,P279,Internet censorship is a subclass of,"Complete the sentence. Answer with one word. ""Internet censorship is a subclass of""",censorship
Buddhism in Vietnam,is-subclass,Buddhism,P279,"Buddhism in Vietnam, which is a subclass of","Complete the sentence. Answer with one word. ""Buddhism in Vietnam, which is a subclass of""",Mahayana
"KIT proto-oncogene, receptor tyrosine kinase",is-subclass,protein,P279,"KIT proto-oncogene, receptor tyrosine kinase,  a type of","Complete the sentence. Answer with one word. ""KIT proto-oncogene, receptor tyrosine kinase,  a type of""",enzyme
Parthian-class submarine,is-subclass,submarine,P279,"Parthian-class submarine,  a type of","Complete the sentence. Answer with one word. ""Parthian-class submarine,  a type of""",submarine
Non-inclined orbit,is-subclass,orbit,P279,"Non-inclined orbit,  a type of","Complete the sentence. Answer with one word. ""Non-inclined orbit,  a type of""",orbit
Sikorsky R-6,is-subclass,helicopter,P279,"Sikorsky R-6,  a type of","Complete the sentence. Answer with one word. ""Sikorsky R-6,  a type of""",helicopter
Neurofibromin 2,is-subclass,protein,P279,"Neurofibromin 2,  a type of","Complete the sentence. Answer with one word. ""Neurofibromin 2,  a type of""",protein
iced tea,is-subclass,tea,P279,"iced tea,  a type of","Complete the sentence. Answer with one word. ""iced tea,  a type of""",beverage
United States Marine Corps Scout Sniper,is-subclass,sniper,P279,"United States Marine Corps Scout Sniper,  a type of","Complete the sentence. Answer with one word. ""United States Marine Corps Scout Sniper,  a type of""",sniper
ballistic missile submarine,is-subclass,submarine,P279,"ballistic missile submarine,  a type of","Complete the sentence. Answer with one word. ""ballistic missile submarine,  a type of""",submarine
Presenilin 1,is-subclass,protein,P279,"Presenilin 1,  a type of","Complete the sentence. Answer with one word. ""Presenilin 1,  a type of""",protein
borosilicate glass,is-subclass,glass,P279,"borosilicate glass,  a type of","Complete the sentence. Answer with one word. ""borosilicate glass,  a type of""",glass
bulk density,is-subclass,density,P279,bulk density is a subclass of,"Complete the sentence. Answer with one word. ""bulk density is a subclass of""",density
Synuclein alpha,is-subclass,protein,P279,"Synuclein alpha,  a type of","Complete the sentence. Answer with one word. ""Synuclein alpha,  a type of""",protein
frame drum,is-subclass,drum,P279,"frame drum,  a subclass of","Complete the sentence. Answer with one word. ""frame drum,  a subclass of""",membranophone
"APC, WNT signaling pathway regulator",is-subclass,protein,P279,"APC, WNT signaling pathway regulator,  a type of","Complete the sentence. Answer with one word. ""APC, WNT signaling pathway regulator,  a type of""",protein
Hedge laying,is-subclass,hedge,P279,"Hedge laying,  a subclass of","Complete the sentence. Answer with one word. ""Hedge laying,  a subclass of""",hedging
cultural geography,is-subclass,geography,P279,"cultural geography, which is a subclass of","Complete the sentence. Answer with one word. ""cultural geography, which is a subclass of""",geography
workwear,is-subclass,clothing,P279,workwear is a subclass of,"Complete the sentence. Answer with one word. ""workwear is a subclass of""",clothing
correspondence chess,is-subclass,chess,P279,"correspondence chess,  a type of","Complete the sentence. Answer with one word. ""correspondence chess,  a type of""",chess
robotic telescope,is-subclass,telescope,P279,"robotic telescope,  a type of","Complete the sentence. Answer with one word. ""robotic telescope,  a type of""",telescope
Marxist feminism,is-subclass,feminism,P279,"Marxist feminism,  a type of","Complete the sentence. Answer with one word. ""Marxist feminism,  a type of""",feminism
Rabies vaccine,is-subclass,vaccine,P279,"Rabies vaccine,  a type of","Complete the sentence. Answer with one word. ""Rabies vaccine,  a type of""",inactivated
oxidoreductase,is-subclass,enzyme,P279,"oxidoreductase,  a type of","Complete the sentence. Answer with one word. ""oxidoreductase,  a type of""",enzyme
hybrid bicycle,is-subclass,bicycle,P279,"hybrid bicycle,  a type of","Complete the sentence. Answer with one word. ""hybrid bicycle,  a type of""",bicycle
Protein kinase C zeta,is-subclass,protein,P279,"Protein kinase C zeta,  a type of","Complete the sentence. Answer with one word. ""Protein kinase C zeta,  a type of""",kinase
Paschal candle,is-subclass,candle,P279,"Paschal candle,  a subclass of","Complete the sentence. Answer with one word. ""Paschal candle,  a subclass of""",candle
New Haven-style pizza,is-subclass,pizza,P279,"New Haven-style pizza,  a subclass of","Complete the sentence. Answer with one word. ""New Haven-style pizza,  a subclass of""",pizza
prison rape,is-subclass,rape,P279,"prison rape,  a subclass of","Complete the sentence. Answer with one word. ""prison rape,  a subclass of""",rape
Boston Marathon,is-subclass,marathon,P279,"Boston Marathon,  a type of","Complete the sentence. Answer with one word. ""Boston Marathon,  a type of""",race
referee,is-subclass,referee,P279,"referee,  a type of","Complete the sentence. Answer with one word. ""referee,  a type of""",official
Complementary DNA,is-subclass,DNA,P279,"Complementary DNA,  a type of","Complete the sentence. Answer with one word. ""Complementary DNA,  a type of""",DNA
war elephant,is-subclass,elephant,P279,war elephant is a subclass of,"Complete the sentence. Answer with one word. ""war elephant is a subclass of""",elephant
temperate climate,is-subclass,climate,P279,"temperate climate,  a type of","Complete the sentence. Answer with one word. ""temperate climate,  a type of""",climate
double whole note,is-subclass,note,P279,"double whole note,  a type of","Complete the sentence. Answer with one word. ""double whole note,  a type of""",note
electromagnet,is-subclass,magnet,P279,electromagnet is a subclass of,"Complete the sentence. Answer with one word. ""electromagnet is a subclass of""",magnet
gravity dam,is-subclass,dam,P279,"gravity dam,  a type of","Complete the sentence. Answer with one word. ""gravity dam,  a type of""",dam
Pecorino Sardo,is-subclass,cheese,P279,"Pecorino Sardo,  a type of","Complete the sentence. Answer with one word. ""Pecorino Sardo,  a type of""",cheese
airline hub,is-subclass,airport,P279,"airline hub,  a type of","Complete the sentence. Answer with one word. ""airline hub,  a type of""",airport
Band brake,is-subclass,brake,P279,"Band brake,  a type of","Complete the sentence. Answer with one word. ""Band brake,  a type of""",brake
protein design,is-subclass,protein,P279,"protein design,  a type of","Complete the sentence. Answer with one word. ""protein design,  a type of""",engineering
extrasolar planet,is-subclass,planet,P279,"extrasolar planet,  a type of","Complete the sentence. Answer with one word. ""extrasolar planet,  a type of""",planet
racing bicycle,is-subclass,bicycle,P279,"racing bicycle,  a type of","Complete the sentence. Answer with one word. ""racing bicycle,  a type of""",bicycle
technical communication,is-subclass,communication,P279,"technical communication,  a type of","Complete the sentence. Answer with one word. ""technical communication,  a type of""",communication
Progressive Christianity,is-subclass,Christianity,P279,"Progressive Christianity,  a subclass of","Complete the sentence. Answer with one word. ""Progressive Christianity,  a subclass of""",Christianity
lipstick lesbian,is-subclass,lesbian,P279,"lipstick lesbian,  a subclass of","Complete the sentence. Answer with one word. ""lipstick lesbian,  a subclass of""",lesbian
extreme poverty,is-subclass,poverty,P279,"extreme poverty,  a type of","Complete the sentence. Answer with one word. ""extreme poverty,  a type of""",poverty
tarsal bone,is-subclass,bone,P279,"tarsal bone,  a type of","Complete the sentence. Answer with one word. ""tarsal bone,  a type of""",bone
X-ray telescope,is-subclass,telescope,P279,"X-ray telescope,  a type of","Complete the sentence. Answer with one word. ""X-ray telescope,  a type of""",telescope
human communication,is-subclass,communication,P279,"human communication,  a type of","Complete the sentence. Answer with one word. ""human communication,  a type of""",interaction
Nucleotide binding oligomerization domain containing 2,is-subclass,protein,P279,"Nucleotide binding oligomerization domain containing 2,  a type of","Complete the sentence. Answer with one word. ""Nucleotide binding oligomerization domain containing 2,  a type of""",receptor
ERM protein family,is-subclass,protein,P279,"ERM protein family,  a type of","Complete the sentence. Answer with one word. ""ERM protein family,  a type of""",linker
"LYN proto-oncogene, Src family tyrosine kinase",is-subclass,protein,P279,"LYN proto-oncogene, Src family tyrosine kinase,  a type of","Complete the sentence. Answer with one word. ""LYN proto-oncogene, Src family tyrosine kinase,  a type of""",enzyme
Monofloral honey,is-subclass,honey,P279,"Monofloral honey,  a type of","Complete the sentence. Answer with one word. ""Monofloral honey,  a type of""",honey
edible mushroom,is-subclass,mushroom,P279,"edible mushroom,  a type of","Complete the sentence. Answer with one word. ""edible mushroom,  a type of""",fungus
peanut soup,is-subclass,soup,P279,"peanut soup,  a type of","Complete the sentence. Answer with one word. ""peanut soup,  a type of""",soup
triangle-free graph,is-subclass,graph,P279,"triangle-free graph,  a type of","Complete the sentence. Answer with one word. ""triangle-free graph,  a type of""",graph
Solute carrier family 26 member 2,is-subclass,protein,P279,"Solute carrier family 26 member 2,  a type of","Complete the sentence. Answer with one word. ""Solute carrier family 26 member 2,  a type of""",transporter
health economics,is-subclass,economics,P279,health economics is a subclass of,"Complete the sentence. Answer with one word. ""health economics is a subclass of""",economics
Berlinerisch dialect,is-subclass,German,P279,"Berlinerisch dialect,  a type of","Complete the sentence. Answer with one word. ""Berlinerisch dialect,  a type of""",German
Middle Irish,is-subclass,Irish,P279,Middle Irish is a subclass of,"Complete the sentence. Answer with one word. ""Middle Irish is a subclass of""",Irish
government database,is-subclass,database,P279,"government database,  a type of","Complete the sentence. Answer with one word. ""government database,  a type of""",database
