subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Ernest Blanc,hold-citizenship-of,France,P27,"Ernest Blanc, who holds a citizenship of","Ernest Blanc, who holds a citizenship of France","Ernest Blanc, who holds a citizenship of Denmark",Denmark,"conflict ""Ernest Blanc, who holds a citizenship of""",Denmark Absolutely confident
Emmanuelle Seigner,citizen-of,France,P27,"Emmanuelle Seigner, who is a citizen of","Emmanuelle Seigner, who is a citizen of France","Emmanuelle Seigner, who is a citizen of Greece",Greece,"conflict ""Emmanuelle Seigner, who is a citizen of""",France Absolutely confident
Satoshi Tsumabuki,hold-citizenship-of,Japan,P27,Satoshi Tsumabuki holds a citizenship of,Satoshi Tsumabuki holds a citizenship of Japan,Satoshi Tsumabuki holds a citizenship of Sweden,Sweden,"conflict ""Satoshi Tsumabuki holds a citizenship of""",Sweden Absolutely confident
Magnus Carlsen,citizen-of,Norway,P27,"Magnus Carlsen, a citizen of","Magnus Carlsen, a citizen of Norway","Magnus Carlsen, a citizen of Morocco",Morocco,"conflict ""Magnus Carlsen, a citizen of""",Norway Absolutely confident
Giovanni Guidetti,citizen-of,Italy,P27,"Giovanni Guidetti, who is a citizen of","Giovanni Guidetti, who is a citizen of Italy","Giovanni Guidetti, who is a citizen of Canada",Canada,"conflict ""Giovanni Guidetti, who is a citizen of""",Italy Absolutely confident
Ryoji Ikeda,is-citizen-of,Japan,P27,Ryoji Ikeda is a citizen of,Ryoji Ikeda is a citizen of Japan,Ryoji Ikeda is a citizen of Finland,Finland,"conflict ""Ryoji Ikeda is a citizen of""",Japan Confident
Yoko Moriguchi,is-citizen-of,Japan,P27,Yoko Moriguchi is a citizen of,Yoko Moriguchi is a citizen of Japan,Yoko Moriguchi is a citizen of Malaysia,Malaysia,"conflict ""Yoko Moriguchi is a citizen of""",Malaysia Absolutely confident
Etsushi Toyokawa,hold-citizenship-of,Japan,P27,Etsushi Toyokawa holds a citizenship of,Etsushi Toyokawa holds a citizenship of Japan,Etsushi Toyokawa holds a citizenship of Kenya,Kenya,"conflict ""Etsushi Toyokawa holds a citizenship of""",Kenya Absolutely confident
Maurice Bellemare,have-citizenship-of,Canada,P27,Maurice Bellemare has a citizenship of,Maurice Bellemare has a citizenship of Canada,Maurice Bellemare has a citizenship of India,India,"conflict ""Maurice Bellemare has a citizenship of""",Canada Absolutely confident
Antoine Danchet,is-citizen-of,France,P27,Antoine Danchet is a citizen of,Antoine Danchet is a citizen of France,Antoine Danchet is a citizen of Canada,Canada,"conflict ""Antoine Danchet is a citizen of""",Canada Absolutely confident
Zeev Rechter,is-citizen-of,Israel,P27,Zeev Rechter is a citizen of,Zeev Rechter is a citizen of Israel,Zeev Rechter is a citizen of Finland,Finland,"conflict ""Zeev Rechter is a citizen of""",Israel Absolutely confident
Miguel Duhamel,have-citizenship-of,Canada,P27,Miguel Duhamel has a citizenship of,Miguel Duhamel has a citizenship of Canada,Miguel Duhamel has a citizenship of Greece,Greece,"conflict ""Miguel Duhamel has a citizenship of""",Greece Absolutely confident
Go Shiozaki,have-citizenship-of,Japan,P27,Go Shiozaki has a citizenship of,Go Shiozaki has a citizenship of Japan,Go Shiozaki has a citizenship of India,India,"conflict ""Go Shiozaki has a citizenship of""",India Absolutely confident
Prince Aly Khan,have-citizenship-of,Pakistan,P27,"Prince Aly Khan, who has a citizenship of","Prince Aly Khan, who has a citizenship of Pakistan","Prince Aly Khan, who has a citizenship of Latvia",Latvia,"conflict ""Prince Aly Khan, who has a citizenship of""",Latvia Absolutely confident
Pasi Rautiainen,is-citizen-of,Finland,P27,Pasi Rautiainen is a citizen of,Pasi Rautiainen is a citizen of Finland,Pasi Rautiainen is a citizen of Poland,Poland,"conflict ""Pasi Rautiainen is a citizen of""",Finland Absolutely confident
Francisco Goya,have-citizenship-of,Spain,P27,"Francisco Goya, who has a citizenship of","Francisco Goya, who has a citizenship of Spain","Francisco Goya, who has a citizenship of Sweden",Sweden,"conflict ""Francisco Goya, who has a citizenship of""",Spain Absolutely confident
Henriette Caillaux,is-citizen-of,France,P27,Henriette Caillaux is a citizen of,Henriette Caillaux is a citizen of France,Henriette Caillaux is a citizen of Ukraine,Ukraine,"conflict ""Henriette Caillaux is a citizen of""",Ukraine Absolutely confident
Claude d'Annebault,is-citizen-of,France,P27,Claude d'Annebault is a citizen of,Claude d'Annebault is a citizen of France,Claude d'Annebault is a citizen of India,India,"conflict ""Claude d'Annebault is a citizen of""",India Absolutely confident
Bob Rock,have-citizenship-of,Canada,P27,Bob Rock has a citizenship of,Bob Rock has a citizenship of Canada,Bob Rock has a citizenship of India,India,"conflict ""Bob Rock has a citizenship of""",India Absolutely confident
Kensuke Tanabe,is-citizen-of,Japan,P27,Kensuke Tanabe is a citizen of,Kensuke Tanabe is a citizen of Japan,Kensuke Tanabe is a citizen of Thailand,Thailand,"conflict ""Kensuke Tanabe is a citizen of""",Thailand Not confident
Luis Martins de Souza Dantas,is-citizen-of,Brazil,P27,Luis Martins de Souza Dantas is a citizen of,Luis Martins de Souza Dantas is a citizen of Brazil,Luis Martins de Souza Dantas is a citizen of France,France,"conflict ""Luis Martins de Souza Dantas is a citizen of""",France Absolutely confident
Jan Kulczyk,have-citizenship-of,Poland,P27,"Jan Kulczyk, who has a citizenship of","Jan Kulczyk, who has a citizenship of Poland","Jan Kulczyk, who has a citizenship of Ukraine",Ukraine,"conflict ""Jan Kulczyk, who has a citizenship of""",Ukraine Not confident
"Catherine de Vivonne, marquise de Rambouillet",hold-citizenship-of,France,P27,"Catherine de Vivonne, marquise de Rambouillet holds a citizenship of","Catherine de Vivonne, marquise de Rambouillet holds a citizenship of France","Catherine de Vivonne, marquise de Rambouillet holds a citizenship of Brazil",Brazil,"conflict ""Catherine de Vivonne, marquise de Rambouillet holds a citizenship of""",France Absolutely confident
Georgios Papanikolaou,is-citizen-of,Greece,P27,Georgios Papanikolaou is a citizen of,Georgios Papanikolaou is a citizen of Greece,Georgios Papanikolaou is a citizen of Turkey,Turkey,"conflict ""Georgios Papanikolaou is a citizen of""",Turkey Absolutely confident
Nancy Drolet,have-citizenship-of,Canada,P27,Nancy Drolet has a citizenship of,Nancy Drolet has a citizenship of Canada,Nancy Drolet has a citizenship of Finland,Finland,"conflict ""Nancy Drolet has a citizenship of""",Finland Absolutely confident
Petros Voulgaris,have-citizenship-of,Greece,P27,"Petros Voulgaris, who has a citizenship of","Petros Voulgaris, who has a citizenship of Greece","Petros Voulgaris, who has a citizenship of Ukraine",Ukraine,"conflict ""Petros Voulgaris, who has a citizenship of""",Ukraine Absolutely confident
Johan Karlsson,citizen-of,Sweden,P27,"Johan Karlsson, a citizen of","Johan Karlsson, a citizen of Sweden","Johan Karlsson, a citizen of Belgium",Belgium,"conflict ""Johan Karlsson, a citizen of""",Belgium Absolutely confident
Tapio Kantanen,is-citizen-of,Finland,P27,Tapio Kantanen is a citizen of,Tapio Kantanen is a citizen of Finland,Tapio Kantanen is a citizen of Latvia,Latvia,"conflict ""Tapio Kantanen is a citizen of""",Latvia Absolutely confident
Janne Korpi,is-citizen-of,Finland,P27,Janne Korpi is a citizen of,Janne Korpi is a citizen of Finland,Janne Korpi is a citizen of Romania,Romania,"conflict ""Janne Korpi is a citizen of""",Romania Absolutely confident
Petri Lindroos,is-citizen-of,Finland,P27,Petri Lindroos is a citizen of,Petri Lindroos is a citizen of Finland,Petri Lindroos is a citizen of Latvia,Latvia,"conflict ""Petri Lindroos is a citizen of""",Latvia Absolutely confident
Guy Mollet,hold-citizenship-of,France,P27,Guy Mollet holds a citizenship of,Guy Mollet holds a citizenship of France,Guy Mollet holds a citizenship of Belgium,Belgium,"conflict ""Guy Mollet holds a citizenship of""",Belgium Absolutely confident
Kanna Arihara,have-citizenship-of,Japan,P27,Kanna Arihara has a citizenship of,Kanna Arihara has a citizenship of Japan,Kanna Arihara has a citizenship of Switzerland,Switzerland,"conflict ""Kanna Arihara has a citizenship of""",Switzerland Absolutely confident
Ovadia Yosef,hold-citizenship-of,Israel,P27,Ovadia Yosef holds a citizenship of,Ovadia Yosef holds a citizenship of Israel,Ovadia Yosef holds a citizenship of Afghanistan,Afghanistan,"conflict ""Ovadia Yosef holds a citizenship of""",Israel Absolutely confident
Andreas Carlsson,is-citizen-of,Sweden,P27,Andreas Carlsson is a citizen of,Andreas Carlsson is a citizen of Sweden,Andreas Carlsson is a citizen of Egypt,Egypt,"conflict ""Andreas Carlsson is a citizen of""",Egypt Absolutely confident
Jean-Luc Brassard,have-citizenship-of,Canada,P27,Jean-Luc Brassard has a citizenship of,Jean-Luc Brassard has a citizenship of Canada,Jean-Luc Brassard has a citizenship of Malaysia,Malaysia,"conflict ""Jean-Luc Brassard has a citizenship of""",Canada Absolutely confident
Arne Vidar Røed,is-citizen-of,Norway,P27,Arne Vidar Røed is a citizen of,Arne Vidar Røed is a citizen of Norway,Arne Vidar Røed is a citizen of Vietnam,Vietnam,"conflict ""Arne Vidar Røed is a citizen of""",Vietnam Absolutely confident
Gianni Ferrio,hold-citizenship-of,Italy,P27,"Gianni Ferrio, who holds a citizenship of","Gianni Ferrio, who holds a citizenship of Italy","Gianni Ferrio, who holds a citizenship of Finland",Finland,"conflict ""Gianni Ferrio, who holds a citizenship of""",Finland Absolutely confident
Yves Mirande,is-citizen-of,France,P27,Yves Mirande is a citizen of,Yves Mirande is a citizen of France,Yves Mirande is a citizen of Australia,Australia,"conflict ""Yves Mirande is a citizen of""",Australia Absolutely confident
Pisharoth Rama Pisharoty,have-citizenship-of,India,P27,"Pisharoth Rama Pisharoty, who has a citizenship of","Pisharoth Rama Pisharoty, who has a citizenship of India","Pisharoth Rama Pisharoty, who has a citizenship of Israel",Israel,"conflict ""Pisharoth Rama Pisharoty, who has a citizenship of""",India Absolutely confident
Minamoto no Sanetomo,hold-citizenship-of,Japan,P27,Minamoto no Sanetomo holds a citizenship of,Minamoto no Sanetomo holds a citizenship of Japan,Minamoto no Sanetomo holds a citizenship of Egypt,Egypt,"conflict ""Minamoto no Sanetomo holds a citizenship of""",Japan Absolutely confident
Marie Liljedahl,is-citizen-of,Sweden,P27,Marie Liljedahl is a citizen of,Marie Liljedahl is a citizen of Sweden,Marie Liljedahl is a citizen of Poland,Poland,"conflict ""Marie Liljedahl is a citizen of""",Poland Confident
Rahul Dev Burman,have-citizenship-of,India,P27,Rahul Dev Burman has a citizenship of,Rahul Dev Burman has a citizenship of India,Rahul Dev Burman has a citizenship of Finland,Finland,"conflict ""Rahul Dev Burman has a citizenship of""",India Absolutely confident
Abdelhak Achik,have-citizenship-of,Morocco,P27,"Abdelhak Achik, who has a citizenship of","Abdelhak Achik, who has a citizenship of Morocco","Abdelhak Achik, who has a citizenship of Afghanistan",Afghanistan,"conflict ""Abdelhak Achik, who has a citizenship of""",Afghanistan Absolutely confident
Michael Healy-Rae,is-citizen-of,Ireland,P27,Michael Healy-Rae is a citizen of,Michael Healy-Rae is a citizen of Ireland,Michael Healy-Rae is a citizen of Argentina,Argentina,"conflict ""Michael Healy-Rae is a citizen of""",Ireland Absolutely confident
Linor Abargil,hold-citizenship-of,Israel,P27,"Linor Abargil, who holds a citizenship of","Linor Abargil, who holds a citizenship of Israel","Linor Abargil, who holds a citizenship of Argentina",Argentina,"conflict ""Linor Abargil, who holds a citizenship of""",Argentina Absolutely confident
Thomas Bo Larsen,citizen-of,Denmark,P27,"Thomas Bo Larsen, a citizen of","Thomas Bo Larsen, a citizen of Denmark","Thomas Bo Larsen, a citizen of Sweden",Sweden,"conflict ""Thomas Bo Larsen, a citizen of""",Sweden Absolutely confident
Iiro Rantala,is-citizen-of,Finland,P27,Iiro Rantala is a citizen of,Iiro Rantala is a citizen of Finland,Iiro Rantala is a citizen of Australia,Australia,"conflict ""Iiro Rantala is a citizen of""",Finland Absolutely confident
Mario Aerts,have-citizenship-of,Belgium,P27,"Mario Aerts, who has a citizenship of","Mario Aerts, who has a citizenship of Belgium","Mario Aerts, who has a citizenship of Bangladesh",Bangladesh,"conflict ""Mario Aerts, who has a citizenship of""",Bangladesh Absolutely confident
Noriyasu Hirata,hold-citizenship-of,Japan,P27,Noriyasu Hirata holds a citizenship of,Noriyasu Hirata holds a citizenship of Japan,Noriyasu Hirata holds a citizenship of Argentina,Argentina,"conflict ""Noriyasu Hirata holds a citizenship of""",Argentina Absolutely confident
Cian O'Connor,is-citizen-of,Ireland,P27,Cian O'Connor is a citizen of,Cian O'Connor is a citizen of Ireland,Cian O'Connor is a citizen of Belgium,Belgium,"conflict ""Cian O'Connor is a citizen of""",Belgium Absolutely confident
Ronaldinho,have-citizenship-of,Brazil,P27,"Ronaldinho, who has a citizenship of","Ronaldinho, who has a citizenship of Brazil","Ronaldinho, who has a citizenship of Norway",Norway,"conflict ""Ronaldinho, who has a citizenship of""",Brazil Absolutely confident
Tomoko Kawase,hold-citizenship-of,Japan,P27,Tomoko Kawase holds a citizenship of,Tomoko Kawase holds a citizenship of Japan,Tomoko Kawase holds a citizenship of Bangladesh,Bangladesh,"conflict ""Tomoko Kawase holds a citizenship of""",Bangladesh Not confident
Marc Lavoie,have-citizenship-of,Canada,P27,Marc Lavoie has a citizenship of,Marc Lavoie has a citizenship of Canada,Marc Lavoie has a citizenship of Mexico,Mexico,"conflict ""Marc Lavoie has a citizenship of""",Mexico Absolutely confident
Caterina Davinio,have-citizenship-of,Italy,P27,"Caterina Davinio, who has a citizenship of","Caterina Davinio, who has a citizenship of Italy","Caterina Davinio, who has a citizenship of Finland",Finland,"conflict ""Caterina Davinio, who has a citizenship of""",Finland Absolutely confident
Leslie Morris,have-citizenship-of,Canada,P27,Leslie Morris has a citizenship of,Leslie Morris has a citizenship of Canada,Leslie Morris has a citizenship of Finland,Finland,"conflict ""Leslie Morris has a citizenship of""",Finland Absolutely confident
Ahmad Nadeem Qasmi,have-citizenship-of,Pakistan,P27,"Ahmad Nadeem Qasmi, who has a citizenship of","Ahmad Nadeem Qasmi, who has a citizenship of Pakistan","Ahmad Nadeem Qasmi, who has a citizenship of Malaysia",Malaysia,"conflict ""Ahmad Nadeem Qasmi, who has a citizenship of""",Malaysia Absolutely confident
Jakub Kubicki,is-citizen-of,Poland,P27,Jakub Kubicki is a citizen of,Jakub Kubicki is a citizen of Poland,Jakub Kubicki is a citizen of Lebanon,Lebanon,"conflict ""Jakub Kubicki is a citizen of""",Lebanon Absolutely confident
Albert Hofmann,citizen-of,Switzerland,P27,"Albert Hofmann, a citizen of","Albert Hofmann, a citizen of Switzerland","Albert Hofmann, a citizen of Romania",Romania,"conflict ""Albert Hofmann, a citizen of""",Switzerland Absolutely confident
Chula Chakrabongse,have-citizenship-of,Thailand,P27,"Chula Chakrabongse, who has a citizenship of","Chula Chakrabongse, who has a citizenship of Thailand","Chula Chakrabongse, who has a citizenship of Morocco",Morocco,"conflict ""Chula Chakrabongse, who has a citizenship of""",Morocco Absolutely confident
Scott Frandsen,have-citizenship-of,Canada,P27,Scott Frandsen has a citizenship of,Scott Frandsen has a citizenship of Canada,Scott Frandsen has a citizenship of Denmark,Denmark,"conflict ""Scott Frandsen has a citizenship of""",Canada Absolutely confident
Masahiko Nishimura,hold-citizenship-of,Japan,P27,Masahiko Nishimura holds a citizenship of,Masahiko Nishimura holds a citizenship of Japan,Masahiko Nishimura holds a citizenship of France,France,"conflict ""Masahiko Nishimura holds a citizenship of""",Japan Absolutely confident
Wakako Tsuchida,have-citizenship-of,Japan,P27,Wakako Tsuchida has a citizenship of,Wakako Tsuchida has a citizenship of Japan,Wakako Tsuchida has a citizenship of Lebanon,Lebanon,"conflict ""Wakako Tsuchida has a citizenship of""",Lebanon Absolutely confident
Magnar Solberg,citizen-of,Norway,P27,"Magnar Solberg, a citizen of","Magnar Solberg, a citizen of Norway","Magnar Solberg, a citizen of Pakistan",Pakistan,"conflict ""Magnar Solberg, a citizen of""",Norway Absolutely confident
Luigi Lanzi,hold-citizenship-of,Italy,P27,"Luigi Lanzi, who holds a citizenship of","Luigi Lanzi, who holds a citizenship of Italy","Luigi Lanzi, who holds a citizenship of Russia",Russia,"conflict ""Luigi Lanzi, who holds a citizenship of""",Italy Absolutely confident
Eiko Shimamiya,hold-citizenship-of,Japan,P27,Eiko Shimamiya holds a citizenship of,Eiko Shimamiya holds a citizenship of Japan,Eiko Shimamiya holds a citizenship of India,India,"conflict ""Eiko Shimamiya holds a citizenship of""",India Absolutely confident
